Start (s),End (s),Scientific name,Common name,Confidence
504.0,507.0,Otus lempiji,Sunda Scops Owl,0.1199
507.0,510.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1336
507.0,510.0,Otus lempiji,Sunda Scops Owl,0.1162
513.0,516.0,Otus lempiji,Sunda Scops Owl,0.1777
513.0,516.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1110
516.0,519.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1026
528.0,531.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1306
528.0,531.0,Otus lempiji,Sunda Scops Owl,0.1282
531.0,534.0,Rallina fasciata,Red-legged Crake,0.1020
534.0,537.0,Rallina fasciata,Red-legged Crake,0.1369
540.0,543.0,Rallina fasciata,Red-legged Crake,0.1590
543.0,546.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1394
543.0,546.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1281
549.0,552.0,Rallina fasciata,Red-legged Crake,0.2172
558.0,561.0,Tyto alba,Barn Owl,0.1827
561.0,564.0,Otus lempiji,Sunda Scops Owl,0.1116
567.0,570.0,Otus lempiji,Sunda Scops Owl,0.1325
570.0,573.0,Tyto alba,Barn Owl,0.3612
573.0,576.0,Otus lempiji,Sunda Scops Owl,0.1175
576.0,579.0,Otus lempiji,Sunda Scops Owl,0.1394
576.0,579.0,Strix seloputo,Spotted Wood-Owl,0.1153
579.0,582.0,Tyto alba,Barn Owl,0.4922
585.0,588.0,Tyto alba,Barn Owl,0.3690
594.0,597.0,Rallina fasciata,Red-legged Crake,0.2408
594.0,597.0,Pomatorhinus musicus,Taiwan Scimitar-Babbler,0.1878
