Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1176
6.0,9.0,Otus lempiji,Sunda Scops Owl,0.1648
6.0,9.0,Gallus gallus,Red Junglefowl,0.1098
9.0,12.0,Gallus gallus,Red Junglefowl,0.8262
9.0,12.0,Gallus gallus,Red Junglefowl,0.1715
12.0,15.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1449
18.0,21.0,Buceros rhinoceros,Rhinoceros Hornbill,0.3015
18.0,21.0,Otus lempiji,Sunda Scops Owl,0.1098
24.0,27.0,Otus lempiji,Sunda Scops Owl,0.1027
27.0,30.0,Human vocal,Human vocal,0.2754
27.0,30.0,Dog,Dog,0.1517
30.0,33.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1224
33.0,36.0,Gallus gallus,Red Junglefowl,0.9295
33.0,36.0,Gallus gallus,Red Junglefowl,0.2835
36.0,39.0,Oriolus chinensis,Black-naped Oriole,0.1832
36.0,39.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1680
39.0,42.0,Myophonus horsfieldii,Malabar Whistling-Thrush,0.2219
39.0,42.0,Gallus gallus,Red Junglefowl,0.1507
39.0,42.0,Tyto alba,Barn Owl,0.1144
42.0,45.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.4395
42.0,45.0,Crypturellus soui,Little Tinamou,0.1288
45.0,48.0,Gallus gallus,Red Junglefowl,0.7966
45.0,48.0,Gallus gallus,Red Junglefowl,0.2680
45.0,48.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1111
48.0,51.0,Gallus gallus,Red Junglefowl,0.4421
48.0,51.0,Otus lempiji,Sunda Scops Owl,0.1454
51.0,54.0,Gallus gallus,Red Junglefowl,0.8535
51.0,54.0,Gallus gallus,Red Junglefowl,0.1125
54.0,57.0,Gallus gallus,Red Junglefowl,0.6558
54.0,57.0,Dacelo leachii,Blue-winged Kookaburra,0.1610
