Start (s),End (s),Scientific name,Common name,Confidence
60.0,63.0,Nonnula rubecula,Rusty-breasted Nunlet,0.3949
60.0,63.0,Otus lempiji,Sunda Scops Owl,0.1939
60.0,63.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1800
63.0,66.0,Otus lempiji,Sunda Scops Owl,0.1274
66.0,69.0,Otus lempiji,Sunda Scops Owl,0.1969
66.0,69.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1211
69.0,72.0,Rallina fasciata,Red-legged Crake,0.1854
69.0,72.0,Tyto alba,Barn Owl,0.1294
69.0,72.0,Actenoides monachus,Green-backed Kingfisher,0.1191
72.0,75.0,Oriolus chinensis,Black-naped Oriole,0.5346
72.0,75.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3004
72.0,75.0,Rallina fasciata,Red-legged Crake,0.2222
72.0,75.0,Oriolus oriolus,Eurasian Golden Oriole,0.1176
72.0,75.0,Crypturellus cinereus,Cinereous Tinamou,0.1023
75.0,78.0,Otus lempiji,Sunda Scops Owl,0.1539
78.0,81.0,Gallus gallus,Red Junglefowl,0.9508
78.0,81.0,Gallus gallus,Red Junglefowl,0.2872
81.0,84.0,Otus lempiji,Sunda Scops Owl,0.1956
84.0,87.0,Gallus gallus,Red Junglefowl,0.1499
87.0,90.0,Megascops asio,Eastern Screech-Owl,0.3161
87.0,90.0,Gallus gallus,Red Junglefowl,0.2081
87.0,90.0,Otus lempiji,Sunda Scops Owl,0.1196
87.0,90.0,Grus grus,Common Crane,0.1183
90.0,93.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.4342
90.0,93.0,Merops viridis,Blue-throated Bee-eater,0.1974
90.0,93.0,Merops viridis,Blue-throated Bee-eater,0.1026
93.0,96.0,Otus lempiji,Sunda Scops Owl,0.1677
96.0,99.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1242
99.0,102.0,Cincloramphus timoriensis,Tawny Grassbird,0.1073
102.0,105.0,Gallus gallus,Red Junglefowl,0.8906
102.0,105.0,Gallus gallus,Red Junglefowl,0.3116
108.0,111.0,Otus lempiji,Sunda Scops Owl,0.1131
117.0,120.0,Stachyris maculata,Chestnut-rumped Babbler,0.2043
120.0,123.0,Pomatorhinus musicus,Taiwan Scimitar-Babbler,0.2977
120.0,123.0,Gallus gallus,Red Junglefowl,0.2798
120.0,123.0,Gallus gallus,Red Junglefowl,0.1350
120.0,123.0,Rallina fasciata,Red-legged Crake,0.1073
123.0,126.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1004
126.0,129.0,Orthotomus sutorius,Common Tailorbird,0.1249
126.0,129.0,Orthotomus sutorius,Common Tailorbird,0.1109
129.0,132.0,Orthotomus sutorius,Common Tailorbird,0.1335
132.0,135.0,Orthotomus sutorius,Common Tailorbird,0.4660
132.0,135.0,Orthotomus sutorius,Common Tailorbird,0.3187
135.0,138.0,Gallus gallus,Red Junglefowl,0.9675
135.0,138.0,Gallus gallus,Red Junglefowl,0.3287
138.0,141.0,Oriolus chinensis,Black-naped Oriole,0.2030
138.0,141.0,Gracula religiosa,Common Hill Myna,0.1246
141.0,144.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1473
141.0,144.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1020
144.0,147.0,Otus lempiji,Sunda Scops Owl,0.1406
147.0,150.0,Gallus gallus,Red Junglefowl,0.9924
147.0,150.0,Gallus gallus,Red Junglefowl,0.6092
153.0,156.0,Gallus gallus,Red Junglefowl,0.6168
153.0,156.0,Actenoides monachus,Green-backed Kingfisher,0.5607
153.0,156.0,Gallus gallus,Red Junglefowl,0.1302
156.0,159.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2202
159.0,162.0,Lipaugus vociferans,Screaming Piha,0.4126
159.0,162.0,Cymbilaimus lineatus,Fasciated Antshrike,0.3525
159.0,162.0,Campylorhynchus turdinus,Thrush-like Wren,0.2643
159.0,162.0,Turdus hauxwelli,Hauxwell's Thrush,0.2004
159.0,162.0,Legatus leucophaius,Piratic Flycatcher,0.1762
159.0,162.0,Crypturellus soui,Little Tinamou,0.1194
159.0,162.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1158
162.0,165.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1441
162.0,165.0,Oriolus chinensis,Black-naped Oriole,0.1290
165.0,168.0,Gallus gallus,Red Junglefowl,0.5493
165.0,168.0,Callipepla californica,California Quail,0.2296
165.0,168.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1915
165.0,168.0,Paradisaea rubra,Red Bird-of-Paradise,0.1509
165.0,168.0,Gallus gallus,Red Junglefowl,0.1065
168.0,171.0,Gallus gallus,Red Junglefowl,0.9815
168.0,171.0,Gallus gallus,Red Junglefowl,0.2019
171.0,174.0,Rallina fasciata,Red-legged Crake,0.1752
171.0,174.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1430
174.0,177.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1711
174.0,177.0,Gallus gallus,Red Junglefowl,0.1509
174.0,177.0,Platysmurus leucopterus,Black Magpie,0.1273
180.0,183.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1454
186.0,189.0,Otus lempiji,Sunda Scops Owl,0.2355
189.0,192.0,Gallus gallus,Red Junglefowl,0.8710
189.0,192.0,Gallus gallus,Red Junglefowl,0.2264
192.0,195.0,Gallus gallus,Red Junglefowl,0.4036
195.0,198.0,Turdus hauxwelli,Hauxwell's Thrush,0.4418
195.0,198.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3236
195.0,198.0,Crypturellus soui,Little Tinamou,0.1319
195.0,198.0,Campylorhynchus turdinus,Thrush-like Wren,0.1163
198.0,201.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1674
201.0,204.0,Gracula religiosa,Common Hill Myna,0.1891
201.0,204.0,Oriolus chinensis,Black-naped Oriole,0.1425
201.0,204.0,Otus lempiji,Sunda Scops Owl,0.1148
201.0,204.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1078
204.0,207.0,Gallus gallus,Red Junglefowl,0.9393
204.0,207.0,Gallus gallus,Red Junglefowl,0.3424
207.0,210.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1794
207.0,210.0,Caprimulgus macrurus,Large-tailed Nightjar,0.1310
207.0,210.0,Merops viridis,Blue-throated Bee-eater,0.1063
207.0,210.0,Rallina fasciata,Red-legged Crake,0.1033
210.0,213.0,Gallus gallus,Red Junglefowl,0.5007
210.0,213.0,Turdus hauxwelli,Hauxwell's Thrush,0.3080
210.0,213.0,Actenoides monachus,Green-backed Kingfisher,0.2773
210.0,213.0,Gallus gallus,Red Junglefowl,0.1130
210.0,213.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1024
213.0,216.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1175
216.0,219.0,Oriolus chinensis,Black-naped Oriole,0.2256
219.0,222.0,Otus lempiji,Sunda Scops Owl,0.1404
222.0,225.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1682
225.0,228.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1581
225.0,228.0,Strix seloputo,Spotted Wood-Owl,0.1224
225.0,228.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1090
228.0,231.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.4593
228.0,231.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1382
231.0,234.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1926
231.0,234.0,Otus lempiji,Sunda Scops Owl,0.1862
237.0,240.0,Stachyris maculata,Chestnut-rumped Babbler,0.2992
237.0,240.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1484
240.0,243.0,Cincloramphus timoriensis,Tawny Grassbird,0.1362
243.0,246.0,Actenoides monachus,Green-backed Kingfisher,0.3275
243.0,246.0,Eudynamys orientalis,Pacific Koel,0.2982
243.0,246.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1735
243.0,246.0,Lipaugus vociferans,Screaming Piha,0.1131
243.0,246.0,Caprimulgus macrurus,Large-tailed Nightjar,0.1048
246.0,249.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3072
246.0,249.0,Turdus hauxwelli,Hauxwell's Thrush,0.1447
252.0,255.0,Oriolus chinensis,Black-naped Oriole,0.5685
252.0,255.0,Oriolus oriolus,Eurasian Golden Oriole,0.2554
252.0,255.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1254
252.0,255.0,Oriolus traillii,Maroon Oriole,0.1038
255.0,258.0,Otus lempiji,Sunda Scops Owl,0.1168
255.0,258.0,Oriolus chinensis,Black-naped Oriole,0.1024
258.0,261.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2049
261.0,264.0,Gallus gallus,Red Junglefowl,0.9679
261.0,264.0,Gallus gallus,Red Junglefowl,0.4268
264.0,267.0,Gallus gallus,Red Junglefowl,0.9567
264.0,267.0,Gallus gallus,Red Junglefowl,0.4339
264.0,267.0,Gallus lafayettii,Sri Lanka Junglefowl,0.2320
267.0,270.0,Psittacula longicauda,Long-tailed Parakeet,0.1135
273.0,276.0,Oriolus chinensis,Black-naped Oriole,0.1289
273.0,276.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1120
276.0,279.0,Gallus gallus,Red Junglefowl,0.9445
276.0,279.0,Gallus gallus,Red Junglefowl,0.4180
276.0,279.0,Gallus sonneratii,Gray Junglefowl,0.1357
279.0,282.0,Oriolus chinensis,Black-naped Oriole,0.6729
279.0,282.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2888
282.0,285.0,Turdus hauxwelli,Hauxwell's Thrush,0.2744
282.0,285.0,Phodilus badius,Oriental Bay-Owl,0.1771
282.0,285.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1170
285.0,288.0,Oriolus chinensis,Black-naped Oriole,0.6063
285.0,288.0,Oriolus oriolus,Eurasian Golden Oriole,0.1520
285.0,288.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1244
288.0,291.0,Oriolus chinensis,Black-naped Oriole,0.2089
288.0,291.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1018
291.0,294.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1605
294.0,297.0,Tringa nebularia,Common Greenshank,0.1675
294.0,297.0,Tringa melanoleuca,Greater Yellowlegs,0.1382
294.0,297.0,Oriolus xanthornus,Black-hooded Oriole,0.1271
297.0,300.0,Oriolus chinensis,Black-naped Oriole,0.3978
297.0,300.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1605
297.0,300.0,Rallina fasciata,Red-legged Crake,0.1059
300.0,303.0,Gallus gallus,Red Junglefowl,0.2618
303.0,306.0,Gallus gallus,Red Junglefowl,0.1661
306.0,309.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1822
309.0,312.0,Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler,0.2588
309.0,312.0,Oriolus chinensis,Black-naped Oriole,0.2160
309.0,312.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1617
312.0,315.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.3451
312.0,315.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2287
315.0,318.0,Oriolus chinensis,Black-naped Oriole,0.6260
315.0,318.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1715
315.0,318.0,Oriolus xanthornus,Black-hooded Oriole,0.1461
315.0,318.0,Oriolus traillii,Maroon Oriole,0.1282
318.0,321.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1266
321.0,324.0,Gallus gallus,Red Junglefowl,0.9289
321.0,324.0,Gallus gallus,Red Junglefowl,0.2498
324.0,327.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1592
324.0,327.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1493
330.0,333.0,Oriolus chinensis,Black-naped Oriole,0.2464
330.0,333.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2436
330.0,333.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1110
333.0,336.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3971
333.0,336.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1773
333.0,336.0,Oriolus chinensis,Black-naped Oriole,0.1442
336.0,339.0,Gallus gallus,Red Junglefowl,0.9737
336.0,339.0,Gallus gallus,Red Junglefowl,0.4955
339.0,342.0,Oriolus chinensis,Black-naped Oriole,0.3900
339.0,342.0,Pitta moluccensis,Blue-winged Pitta,0.1147
342.0,345.0,Pycnonotus plumosus,Olive-winged Bulbul,0.2342
342.0,345.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1423
342.0,345.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1061
345.0,348.0,Oriolus chinensis,Black-naped Oriole,0.4524
348.0,351.0,Orthotomus sericeus,Rufous-tailed Tailorbird,0.1294
348.0,351.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1094
351.0,354.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1815
351.0,354.0,Oriolus chinensis,Black-naped Oriole,0.1477
354.0,357.0,Gallus gallus,Red Junglefowl,0.7914
354.0,357.0,Gallus gallus,Red Junglefowl,0.2493
357.0,360.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2843
357.0,360.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2289
360.0,363.0,Oriolus chinensis,Black-naped Oriole,0.2061
360.0,363.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1277
363.0,366.0,Oriolus chinensis,Black-naped Oriole,0.1537
366.0,369.0,Gallus gallus,Red Junglefowl,0.9860
366.0,369.0,Gallus gallus,Red Junglefowl,0.2723
375.0,378.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1788
375.0,378.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1616
378.0,381.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.8376
378.0,381.0,Orthotomus sericeus,Rufous-tailed Tailorbird,0.4259
378.0,381.0,Pycnonotus plumosus,Olive-winged Bulbul,0.2992
378.0,381.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1540
381.0,384.0,Gallus gallus,Red Junglefowl,0.9782
381.0,384.0,Gallus gallus,Red Junglefowl,0.4091
381.0,384.0,Sialia mexicana,Western Bluebird,0.2218
384.0,387.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2146
384.0,387.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1432
384.0,387.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1032
387.0,390.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2559
387.0,390.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1818
387.0,390.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1673
387.0,390.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1500
387.0,390.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1210
387.0,390.0,Hypsipetes philippinus,Philippine Bulbul,0.1162
390.0,393.0,Dinopium javanense,Common Flameback,0.2332
390.0,393.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2233
390.0,393.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2126
390.0,393.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1620
393.0,396.0,Gallus gallus,Red Junglefowl,0.4870
393.0,396.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.2748
393.0,396.0,Actenoides monachus,Green-backed Kingfisher,0.1150
393.0,396.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1102
396.0,399.0,Psittacula longicauda,Long-tailed Parakeet,0.2849
396.0,399.0,Psittacula longicauda,Long-tailed Parakeet,0.1781
396.0,399.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1291
396.0,399.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1004
399.0,402.0,Gallus gallus,Red Junglefowl,0.9797
399.0,402.0,Gallus gallus,Red Junglefowl,0.6905
402.0,405.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3118
402.0,405.0,Oriolus chinensis,Black-naped Oriole,0.1819
402.0,405.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1596
402.0,405.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1519
405.0,408.0,Streptopelia chinensis,Spotted Dove,0.5050
405.0,408.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1051
411.0,414.0,Oriolus chinensis,Black-naped Oriole,0.6408
411.0,414.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.4671
411.0,414.0,Gallus gallus,Red Junglefowl,0.1702
414.0,417.0,Gallus gallus,Red Junglefowl,0.2966
414.0,417.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1225
414.0,417.0,Gallus gallus,Red Junglefowl,0.1083
417.0,420.0,Gallus gallus,Red Junglefowl,0.9812
420.0,423.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1532
420.0,423.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1166
420.0,423.0,Gallus gallus,Red Junglefowl,0.1062
423.0,426.0,Streptopelia chinensis,Spotted Dove,0.4595
423.0,426.0,Gallus gallus,Red Junglefowl,0.2202
423.0,426.0,Treron fulvicollis,Cinnamon-headed Green-Pigeon,0.1652
423.0,426.0,Treron fulvicollis,Cinnamon-headed Green-Pigeon,0.1112
426.0,429.0,Caprimulgus macrurus,Large-tailed Nightjar,0.1789
429.0,432.0,Streptopelia chinensis,Spotted Dove,0.4921
432.0,435.0,Streptopelia chinensis,Spotted Dove,0.3370
432.0,435.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2237
432.0,435.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1914
432.0,435.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1049
435.0,438.0,Gallus gallus,Red Junglefowl,0.9811
435.0,438.0,Gallus gallus,Red Junglefowl,0.4616
438.0,441.0,Oriolus chinensis,Black-naped Oriole,0.1441
438.0,441.0,Pitta moluccensis,Blue-winged Pitta,0.1210
441.0,444.0,Oriolus chinensis,Black-naped Oriole,0.1363
444.0,447.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1023
447.0,450.0,Dicaeum cruentatum,Scarlet-backed Flowerpecker,0.1195
447.0,450.0,Gallus gallus,Red Junglefowl,0.1028
450.0,453.0,Gallus gallus,Red Junglefowl,0.9214
450.0,453.0,Gallus gallus,Red Junglefowl,0.2552
453.0,456.0,Gallus gallus,Red Junglefowl,0.9534
453.0,456.0,Gallus gallus,Red Junglefowl,0.1201
453.0,456.0,Gallinula chloropus,Eurasian Moorhen,0.1096
456.0,459.0,Rallina fasciata,Red-legged Crake,0.1540
459.0,462.0,Gracula religiosa,Common Hill Myna,0.1482
459.0,462.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1404
459.0,462.0,Oriolus chinensis,Black-naped Oriole,0.1168
462.0,465.0,Mixornis gularis,Pin-striped Tit-Babbler,0.1580
465.0,468.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1086
465.0,468.0,Oriolus chinensis,Black-naped Oriole,0.1077
468.0,471.0,Gallus gallus,Red Junglefowl,0.9603
468.0,471.0,Gallus gallus,Red Junglefowl,0.1916
471.0,474.0,Gallus gallus,Red Junglefowl,0.9623
471.0,474.0,Gallus gallus,Red Junglefowl,0.3678
474.0,477.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1566
474.0,477.0,Mixornis gularis,Pin-striped Tit-Babbler,0.1039
474.0,477.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1018
477.0,480.0,Streptopelia chinensis,Spotted Dove,0.3508
477.0,480.0,Gallus gallus,Red Junglefowl,0.1451
477.0,480.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1225
477.0,480.0,Oriolus chinensis,Black-naped Oriole,0.1044
480.0,483.0,Gallus gallus,Red Junglefowl,0.1523
480.0,483.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1131
480.0,483.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1069
483.0,486.0,Otus lempiji,Sunda Scops Owl,0.1531
483.0,486.0,Macropygia tenuirostris,Philippine Cuckoo-Dove,0.1406
483.0,486.0,Gallus gallus,Red Junglefowl,0.1228
486.0,489.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1759
486.0,489.0,Oriolus chinensis,Black-naped Oriole,0.1503
489.0,492.0,Streptopelia chinensis,Spotted Dove,0.3568
492.0,495.0,Gallus gallus,Red Junglefowl,0.9893
492.0,495.0,Gallus gallus,Red Junglefowl,0.5538
495.0,498.0,Streptopelia chinensis,Spotted Dove,0.6701
495.0,498.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1368
495.0,498.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1330
498.0,501.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3680
498.0,501.0,Oriolus chinensis,Black-naped Oriole,0.1657
498.0,501.0,Gracula religiosa,Common Hill Myna,0.1363
498.0,501.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1083
498.0,501.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1004
501.0,504.0,Streptopelia chinensis,Spotted Dove,0.5500
501.0,504.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1911
501.0,504.0,Oriolus chinensis,Black-naped Oriole,0.1202
504.0,507.0,Pycnonotus plumosus,Olive-winged Bulbul,0.3062
504.0,507.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.3058
504.0,507.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1148
507.0,510.0,Gallus gallus,Red Junglefowl,0.9903
507.0,510.0,Gallus gallus,Red Junglefowl,0.3234
510.0,513.0,Gallus gallus,Red Junglefowl,0.1748
513.0,516.0,Streptopelia chinensis,Spotted Dove,0.2376
516.0,519.0,Psittacula longicauda,Long-tailed Parakeet,0.1882
519.0,522.0,Psittacula longicauda,Long-tailed Parakeet,0.9035
519.0,522.0,Psittacula longicauda,Long-tailed Parakeet,0.5083
519.0,522.0,Psittacula alexandri,Red-breasted Parakeet,0.1744
519.0,522.0,Oriolus chinensis,Black-naped Oriole,0.1260
522.0,525.0,Gallus gallus,Red Junglefowl,0.8352
522.0,525.0,Gallus gallus,Red Junglefowl,0.1976
525.0,528.0,Psittacula longicauda,Long-tailed Parakeet,0.8857
525.0,528.0,Psittacula longicauda,Long-tailed Parakeet,0.5449
525.0,528.0,Psittacula alexandri,Red-breasted Parakeet,0.3758
528.0,531.0,Gallus gallus,Red Junglefowl,0.2235
531.0,534.0,Gallus gallus,Red Junglefowl,0.8614
531.0,534.0,Gallus gallus,Red Junglefowl,0.2262
534.0,537.0,Pycnonotus sinensis,Light-vented Bulbul,0.1589
534.0,537.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1171
537.0,540.0,Pycnonotus sinensis,Light-vented Bulbul,0.2744
537.0,540.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1772
537.0,540.0,Hirundo tahitica,Pacific Swallow,0.1456
537.0,540.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1308
537.0,540.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1190
540.0,543.0,Gallus gallus,Red Junglefowl,0.9666
540.0,543.0,Gallus gallus,Red Junglefowl,0.1814
543.0,546.0,Porzana porzana,Spotted Crake,0.2924
546.0,549.0,Streptopelia chinensis,Spotted Dove,0.7015
549.0,552.0,Gallus gallus,Red Junglefowl,0.1953
549.0,552.0,Pycnonotus finlaysoni,Stripe-throated Bulbul,0.1516
549.0,552.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1128
552.0,555.0,Macropygia tenuirostris,Philippine Cuckoo-Dove,0.1555
555.0,558.0,Streptopelia chinensis,Spotted Dove,0.5704
555.0,558.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1347
555.0,558.0,Pycnonotus sinensis,Light-vented Bulbul,0.1184
558.0,561.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2234
558.0,561.0,Otus lempiji,Sunda Scops Owl,0.1775
558.0,561.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1187
561.0,564.0,Gallus gallus,Red Junglefowl,0.9934
561.0,564.0,Gallus gallus,Red Junglefowl,0.3990
564.0,567.0,Gallus gallus,Red Junglefowl,0.5025
564.0,567.0,Rallina fasciata,Red-legged Crake,0.1744
564.0,567.0,Gallus gallus,Red Junglefowl,0.1418
567.0,570.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2847
567.0,570.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1633
570.0,573.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1335
576.0,579.0,Streptopelia chinensis,Spotted Dove,0.6056
579.0,582.0,Mixornis gularis,Pin-striped Tit-Babbler,0.1346
579.0,582.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1244
582.0,585.0,Gallus gallus,Red Junglefowl,0.9541
582.0,585.0,Gallus gallus,Red Junglefowl,0.2914
582.0,585.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1575
585.0,588.0,Gallus gallus,Red Junglefowl,0.9470
588.0,591.0,Streptopelia chinensis,Spotted Dove,0.5212
591.0,594.0,Pycnonotus sinensis,Light-vented Bulbul,0.2369
591.0,594.0,Zosterops simplex,Swinhoe's White-eye,0.1448
591.0,594.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1022
594.0,597.0,Mixornis gularis,Pin-striped Tit-Babbler,0.1409
594.0,597.0,Pycnonotus sinensis,Light-vented Bulbul,0.1256
597.0,600.0,Dinopium javanense,Common Flameback,0.2757
