,Start (s),End (s),Scientific name,Common name,Confidence
21,72.0,75.0,Cinnyris jugularis,Olive-backed Sunbird,0.1227
188,357.0,360.0,Anthreptes malacensis,Brown-throated Sunbird,0.1226
303,534.0,537.0,Serinus serinus,European Serin,0.1224
213,405.0,408.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.122
269,492.0,495.0,Leptocoma brasiliana,Van Hasselt's Sunbird,0.1217
294,528.0,531.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1217
94,198.0,201.0,Anthreptes malacensis,Brown-throated Sunbird,0.1201
60,159.0,162.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1193
249,474.0,477.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1191
56,147.0,150.0,Cyanocitta cristata,Blue Jay,0.119
79,180.0,183.0,Leptocoma brasiliana,Van Hasselt's Sunbird,0.1189
235,444.0,447.0,Linaria cannabina,Eurasian Linnet,0.1188
197,378.0,381.0,Pycnonotus plumosus,Olive-winged Bulbul,0.1184
340,597.0,600.0,Cinnyris jugularis,Olive-backed Sunbird,0.1184
162,306.0,309.0,Anthreptes malacensis,Brown-throated Sunbird,0.1181
316,555.0,558.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1172
220,414.0,417.0,Erithacus rubecula,European Robin,0.1169
148,285.0,288.0,Cinnyris jugularis,Olive-backed Sunbird,0.1166
248,471.0,474.0,Anthreptes malacensis,Brown-throated Sunbird,0.1163
176,327.0,330.0,Tyrannus tyrannus,Eastern Kingbird,0.1152
165,315.0,318.0,Cacomantis merulinus,Plaintive Cuckoo,0.115
164,312.0,315.0,Anthreptes malacensis,Brown-throated Sunbird,0.115
166,318.0,321.0,Aplonis panayensis,Asian Glossy Starling,0.1141
250,474.0,477.0,Gallinula chloropus,Eurasian Moorhen,0.1137
23,75.0,78.0,Aplonis panayensis,Asian Glossy Starling,0.1116
29,90.0,93.0,Cinnyris lotenius,Loten's Sunbird,0.1109
11,45.0,48.0,Pycnonotus luteolus,White-browed Bulbul,0.1107
314,552.0,555.0,Pernis ptilorhynchus,Crested Honey-buzzard,0.1106
185,351.0,354.0,Anthreptes malacensis,Brown-throated Sunbird,0.1106
177,330.0,333.0,Rhipidura javanica,Malaysian Pied-Fantail,0.1101
304,534.0,537.0,Anthreptes malacensis,Brown-throated Sunbird,0.1098
277,504.0,507.0,Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,0.1093
184,342.0,345.0,Aplonis panayensis,Asian Glossy Starling,0.1086
189,360.0,363.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1086
251,474.0,477.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.1083
68,171.0,174.0,Leptocoma brasiliana,Van Hasselt's Sunbird,0.1082
106,216.0,219.0,Anthreptes malacensis,Brown-throated Sunbird,0.1078
47,138.0,141.0,Psittacula longicauda,Long-tailed Parakeet,0.1078
1,18.0,21.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1076
194,375.0,378.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.1072
332,576.0,579.0,Oriolus sagittatus,Olive-backed Oriole,0.107
206,390.0,393.0,Spinus pinus,Pine Siskin,0.1065
3,30.0,33.0,Human vocal,Human vocal,0.1062
